U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,14,partial-MME,exp,pois,pois,CvM,50,0.0476
exp,15,partial-MME,exp,pois,pois,CvM,50,0.0534
exp,16,partial-MME,exp,pois,pois,CvM,50,0.0521
exp,17,partial-MME,exp,pois,pois,CvM,50,0.0464
exp,18,partial-MME,exp,pois,pois,CvM,50,0.0534
exp,19,partial-MME,exp,pois,pois,CvM,50,0.0459
exp,20,partial-MME,exp,pois,pois,CvM,50,0.0512
exp,21,partial-MME,exp,pois,pois,CvM,50,0.0453
exp,22,partial-MME,exp,pois,pois,CvM,50,0.0495
exp,23,partial-MME,exp,pois,pois,CvM,50,0.043
exp,24,partial-MME,exp,pois,pois,CvM,50,0.0438
exp,25,partial-MME,exp,pois,pois,CvM,50,0.0426
exp,26,partial-MME,exp,pois,pois,CvM,50,0.0406
exp,27,partial-MME,exp,pois,pois,CvM,50,0.0291
exp,28,partial-MME,exp,pois,pois,CvM,50,0.0251
exp,29,partial-MME,exp,pois,pois,CvM,50,0.0202
exp,30,partial-MME,exp,pois,pois,CvM,50,0.01
exp,1,partial-MME,exp,pois,pois,KS,50,0.0554
exp,2,partial-MME,exp,pois,pois,KS,50,0.0496
exp,3,partial-MME,exp,pois,pois,KS,50,0.0523
exp,4,partial-MME,exp,pois,pois,KS,50,0.0545
exp,5,partial-MME,exp,pois,pois,KS,50,0.0486
exp,6,partial-MME,exp,pois,pois,KS,50,0.057
exp,7,partial-MME,exp,pois,pois,KS,50,0.0637
exp,8,partial-MME,exp,pois,pois,KS,50,0.0544
exp,9,partial-MME,exp,pois,pois,KS,50,0.0428
exp,10,partial-MME,exp,pois,pois,KS,50,0.0456
exp,11,partial-MME,exp,pois,pois,KS,50,0.0437
exp,12,partial-MME,exp,pois,pois,KS,50,0.051
exp,13,partial-MME,exp,pois,pois,KS,50,0.0552
exp,14,partial-MME,exp,pois,pois,KS,50,0.0483
exp,15,partial-MME,exp,pois,pois,KS,50,0.0462
exp,16,partial-MME,exp,pois,pois,KS,50,0.0549
exp,17,partial-MME,exp,pois,pois,KS,50,0.0504
exp,18,partial-MME,exp,pois,pois,KS,50,0.055
exp,19,partial-MME,exp,pois,pois,KS,50,0.0544
exp,20,partial-MME,exp,pois,pois,KS,50,0.0511
exp,21,partial-MME,exp,pois,pois,KS,50,0.0543
exp,22,partial-MME,exp,pois,pois,KS,50,0.0517
exp,23,partial-MME,exp,pois,pois,KS,50,0.0468
exp,24,partial-MME,exp,pois,pois,KS,50,0.0461
exp,25,partial-MME,exp,pois,pois,KS,50,0.0427
exp,26,partial-MME,exp,pois,pois,KS,50,0.0372
exp,27,partial-MME,exp,pois,pois,KS,50,0.0293
exp,28,partial-MME,exp,pois,pois,KS,50,0.0184
exp,29,partial-MME,exp,pois,pois,KS,50,0.0152
exp,30,partial-MME,exp,pois,pois,KS,50,0.0106
exp,1,MME,exp,pois,pois,LT_L2,0.001,0.055
exp,2,MME,exp,pois,pois,LT_L2,0.001,0.0551
exp,3,MME,exp,pois,pois,LT_L2,0.001,0.0476
exp,4,MME,exp,pois,pois,LT_L2,0.001,0.0349
exp,5,MME,exp,pois,pois,LT_L2,0.001,0.0291
exp,6,MME,exp,pois,pois,LT_L2,0.001,0.0249
exp,7,MME,exp,pois,pois,LT_L2,0.001,0.0381
exp,8,MME,exp,pois,pois,LT_L2,0.001,0.0321
exp,9,MME,exp,pois,pois,LT_L2,0.001,0.0172
exp,10,MME,exp,pois,pois,LT_L2,0.001,0.0152
