U_alt,shape_U,U_H0,method_GOF,beta,power
gamma,1.6,invgauss,LT_L2,0.01,0.5835
gamma,1.8,invgauss,LT_L2,0.01,0.4676
gamma,2,invgauss,LT_L2,0.01,0.3954
weibull,0.2,exp,LT_L2,0.01,1
weibull,0.4,exp,LT_L2,0.01,1
weibull,0.6000000000000001,exp,LT_L2,0.01,0.9857
weibull,0.8,exp,LT_L2,0.01,0.4857
weibull,1,exp,LT_L2,0.01,0.0506
weibull,1.2,exp,LT_L2,0.01,0.0973
weibull,1.4000000000000001,exp,LT_L2,0.01,0.3851
weibull,1.6,exp,LT_L2,0.01,0.7188
weibull,1.8,exp,LT_L2,0.01,0.8986
weibull,2,exp,LT_L2,0.01,0.9675
weibull,0.2,gamma,LT_L2,0.01,0.0031
weibull,0.4,gamma,LT_L2,0.01,0.2772
weibull,0.6000000000000001,gamma,LT_L2,0.01,0.1602
weibull,0.8,gamma,LT_L2,0.01,0.071
weibull,1,gamma,LT_L2,0.01,0.0387
weibull,1.2,gamma,LT_L2,0.01,0.0289
weibull,1.4000000000000001,gamma,LT_L2,0.01,0.0246
weibull,1.6,gamma,LT_L2,0.01,0.0307
weibull,1.8,gamma,LT_L2,0.01,0.0317
weibull,2,gamma,LT_L2,0.01,0.0233
weibull,0.2,invgauss,LT_L2,0.01,1
weibull,0.4,invgauss,LT_L2,0.01,0.9948
weibull,0.6000000000000001,invgauss,LT_L2,0.01,0.9754
weibull,0.8,invgauss,LT_L2,0.01,0.9309
weibull,1,invgauss,LT_L2,0.01,0.8612
weibull,1.2,invgauss,LT_L2,0.01,0.7611
weibull,1.4000000000000001,invgauss,LT_L2,0.01,0.6631
weibull,1.6,invgauss,LT_L2,0.01,0.5707
weibull,1.8,invgauss,LT_L2,0.01,0.4657
weibull,2,invgauss,LT_L2,0.01,0.3707
invgauss,0.2,exp,LT_L2,0.01,1
invgauss,0.4,exp,LT_L2,0.01,0.999
invgauss,0.6000000000000001,exp,LT_L2,0.01,0.944
invgauss,0.8,exp,LT_L2,0.01,0.7047
invgauss,1,exp,LT_L2,0.01,0.3244
invgauss,1.2,exp,LT_L2,0.01,0.1557
invgauss,1.4000000000000001,exp,LT_L2,0.01,0.0686
invgauss,1.6,exp,LT_L2,0.01,0.024
invgauss,1.8,exp,LT_L2,0.01,0.0117
invgauss,2,exp,LT_L2,0.01,0.0125
invgauss,0.2,gamma,LT_L2,0.01,0.0502
invgauss,0.4,gamma,LT_L2,0.01,0.0678
invgauss,0.6000000000000001,gamma,LT_L2,0.01,0.0863
invgauss,0.8,gamma,LT_L2,0.01,0.1189
invgauss,1,gamma,LT_L2,0.01,0.1449
invgauss,1.2,gamma,LT_L2,0.01,0.1772
invgauss,1.4000000000000001,gamma,LT_L2,0.01,0.2148
invgauss,1.6,gamma,LT_L2,0.01,0.247
invgauss,1.8,gamma,LT_L2,0.01,0.2829
invgauss,2,gamma,LT_L2,0.01,0.3263
invgauss,0.2,invgauss,LT_L2,0.01,0.0387
invgauss,0.4,invgauss,LT_L2,0.01,0.0401
invgauss,0.6000000000000001,invgauss,LT_L2,0.01,0.0465
invgauss,0.8,invgauss,LT_L2,0.01,0.0404
invgauss,1,invgauss,LT_L2,0.01,0.0451
invgauss,1.2,invgauss,LT_L2,0.01,0.0507
invgauss,1.4000000000000001,invgauss,LT_L2,0.01,0.0466
invgauss,1.6,invgauss,LT_L2,0.01,0.0417
invgauss,1.8,invgauss,LT_L2,0.01,0.0462
invgauss,2,invgauss,LT_L2,0.01,0.0419
gamma,0.2,exp,LT_ODE,0.01,0.9997
gamma,0.4,exp,LT_ODE,0.01,0.9542
gamma,0.6000000000000001,exp,LT_ODE,0.01,0.6287
gamma,0.8,exp,LT_ODE,0.01,0.2161
gamma,1,exp,LT_ODE,0.01,0.0545
gamma,1.2,exp,LT_ODE,0.01,0.01
gamma,1.4000000000000001,exp,LT_ODE,0.01,0.0017
gamma,1.6,exp,LT_ODE,0.01,5e-4
gamma,1.8,exp,LT_ODE,0.01,1e-4
gamma,2,exp,LT_ODE,0.01,0
gamma,0.2,gamma,LT_ODE,0.01,0.0363
gamma,0.4,gamma,LT_ODE,0.01,0.0197
gamma,0.6000000000000001,gamma,LT_ODE,0.01,0.027
gamma,0.8,gamma,LT_ODE,0.01,0.0426
gamma,1,gamma,LT_ODE,0.01,0.0493
gamma,1.2,gamma,LT_ODE,0.01,0.0533
gamma,1.4000000000000001,gamma,LT_ODE,0.01,0.0546
gamma,1.6,gamma,LT_ODE,0.01,0.0544
gamma,1.8,gamma,LT_ODE,0.01,0.04760952190438088
gamma,2,gamma,LT_ODE,0.01,0.04980996199239848
gamma,0.2,invgauss,LT_ODE,0.01,0.9987
gamma,0.4,invgauss,LT_ODE,0.01,0.9996
gamma,0.6000000000000001,invgauss,LT_ODE,0.01,0.994
gamma,0.8,invgauss,LT_ODE,0.01,0.9697
gamma,1,invgauss,LT_ODE,0.01,0.9295224747221944
gamma,1.2,invgauss,LT_ODE,0.01,0.8719726660637122
gamma,1.4000000000000001,invgauss,LT_ODE,0.01,0.8243533381044883
gamma,1.6,invgauss,LT_ODE,0.01,0.7718507650387759
